Reference,Risk,Effects,Risk_if_No_Action_Impact,Risk_if_No_Action_Likelihood,Risk_if_No_Action_Score,Mitigation,Current_Risk_Impact,Current_Risk_Likelihood,Current_Risk_Score,Risk_Owner,Actions_Being_Taken,Comments_and_Progress
1,legislative changes,changes arising from central government or eu legislation requiring significant alteration to organisational capacity such as impact of welfare reform and universal credit effects of devolution introduction of new burdens risk of gdpr breach and ico sanction fine,5,5,25,monitoring officer horizon scanning by legal cmt mgt team service manager responsibilities financial workforce planning membership of professional local gov bodies aids horizon scanning mgt of change approach to mitigate significant impact to the organisation and its staff detailed project plans to change implementation respond to consultations on new legislation,2,5,10,carol pilson,use intelligence to officers identify impending changes changes and their effects the council register ensure staff trained electronic and procedures and conducted ensure changed with gdpr use professional the majority networking to identify best held with practice for and council responding to change all staff for further we respond to currently government consultations on the council and each changes to gdpr legislation or policy to influence its development,continue to horizon scan for legislative and their effects has compiled an information asset of all records it hold in both paper and form worked with it system suppliers a staff awareness campaign to that staff understand and are compliant of information held by the council is a legal basis for holding such as election tax records undergo gdpr training and opportunities member training in this area are being explored now has a dedicated gdpr officer service is required to have a dedicated lead
2,brexit,uncertainty during transition period followed by potential legislative funding and policy changes after uk leaves eu may adversely affect the council and its ability to provide services,5,5,25,horizon scanning by legal services cmt heads of service financial workforce planning membership of professional and local govt bodies aids horizon scanning management of change approach to mitigate against significant impact to the organisation and its staff detailed project plans to manage implementation of changes,2,3,6,peter catchpole carol pilson,understanding and government acting on passed intelligence from situation lga cipfa and hence other local the council government take account sources they emerge the council identifying policies outcomes that require changing their negotiations effects and governance as brexit effects start the council workforce workers ensure the council awareness information,withdrawal agreement bill has been lessening the possibility of a no deal and the uk is now in transition phase the likelihood rating has been revised to 3 continues to monitor progress and of any effects on local government as is actively preparing for the likely of ongoing government brexit the council has a corporate brexit project group the council is an active partner of the cambridge and peterborough local resilience forum cplrf who have been tasked with looking at the potential impacts of a no deal brexit and the associated local impact this is being led by the cambridgeshire fire and rescue service the council is a member of the cambridgeshire public service board this is the executives of the partner organisations within the county and brexit is a standing item on their current agenda has fully reviewed information on its and the requirements for any eu we are also liaising with all partners to their preparedness in this area have also promoted community in this area by providing signposting via community support teams
3,failure of contractors and suppliers working on the council s behalf,failure of contractor or partners to deliver services or meet agreed performance objectives leads to additional costs or failed objectives,4,4,16,procurement processes including financial aspects contract standing orders equality standards contract process creation of robust contracts accountability and risk ownership documented service level agreements contract monitoring trained skilled staff project management relationship management business continuity plans,3,4,12,cmt,regular monitoring the leisure of contracts and 2018 performance by for contingency managers potential ensure that financial contracts have risk contracts registers and individual mitigation in event contingency of contract failure is part service we are such recent we have to manage monitor grounds service all other review ongoing the likelihood reduced established,service was outsourced in december included within the contact is the requirement in case of service failure contractors are always checked for stability by the accountancy team before are let council services share their own to cover for contractor failure and this of the business continuity plan for each area carefully monitoring risks of supplier failure as capita issuing a profits warning over months a contract manager in post whose role is the performance of the main maintenance contract and the leisure contract shared services contracts have a full and governance process in place to ensure delivery and performance standards rating has been revised and given the mitigation in place and the nature of the contracts
4,failure of it systems,failure to secure and manage data leads to loss of corruption of inaccuracy of data results in disruption to services and breaches of security a further consequence could be financial penalties and reputational risk,5,5,25,data protection policy and procedure freedom of information publication scheme data retention policy and procedure for archive and disposal information breach response plan monitoring officer role comprises senior information risk officer function business continuity plans ict system security public services network compliance paperless office project countywide information sharing framework,4,3,12,carol pilson peter catchpole,effective auditing of gdpr systems and data held an additional been data backed up securely off site the likelihood increased crime regular penetration testing the council s been regular review of business continuity plans disaster recovery testing is undertaken at regular intervals,is live see risk 1 internet feed to fenland hall has installed to improve resilience score has been reviewed and due to the increase globally of cyber internet and email protocols have updated
5,insufficient staff to provide council services insufficient leadership and or management capacity to deliver council priorities,constraints to effective workforce planning lead to poor standards of service or disruption to service service transformation and commissioning can help build resilience but could also lead to a loss of qualified and knowledgeable staff which exposes the council to risk of service failure and legal challenge,4,5,20,learning development framework training working environment culture staff committee mtsp flexible working established suite of people policies procedures business continuity plans management training 121s springboard staff development and appraisals service planning process access to interim staff via frameworks effective sickness management effective governance structures,2,3,6,cmt,ensure all services all services have effective requirements workforce plans ensure incorporated into establishment service plans longer term which ensure all work is prioritised effective succession planning effective use of project management approaches principles when delivering priorities strategies,have published service plans learning and workforce plans for 2019 20 to teams are staffed according to current and to take account of priorities and trends
6,breach of ict security causes loss of service,major it physical hardware failure or electronic attack such as viruses hacking or spyware causes disruption to services and breaches of security a further consequence could be financial penalties and reputational risk,5,5,25,anti virus software geographically distributed servers tested disaster recovery plan back ups stored off site secondary power supply revised security policies critical services business continuity plans include manual operation,4,3,12,peter catchpole,effective auditing of the council systems and data security held helps threats data backed up websites securely off site advised council regular penetration possible testing processes made updated the likelihood increased crime,has subscribed to the national cyber centre s ncsc web check service that public sector organisations fix website this service regularly scans public sector to check if they are secure ncsc have that the fenland council site is secure it systems and website are as secure as with current anti attack software and up to date when vulnerabilities are known by software vendors software is to reduce the risk of malicious attack score has been reviewed and due to the increase globally of cyber
7,lack of access to council premises prevents services being delivered,disruption of service provision,5,5,25,alarm and security systems fire drills business continuity plans emergency planning network ict disaster recovery and offsite testing r e l o c a ti o n p r o c e d u r e s critical and support services geographically distributed sites r e m o te w orking st a tu to ry building inspection and checks corporate business continuity plans,2,3,6,peter catchpole,regularly test emergency emergency plan testing test service plans business continuity emergency plans month improved ensure key opportunities emergency planning staff attend regular liaison meetings a n d t r a in i n g p ro v i s io n o f drop down facilities for staff,plans ongoing programme of review and training of staff involved in a response regularly checked and tested and planning exercise was conducted last ict systems provide better increased for remote agile working
8,funding changes make council unsustainable,economic changes imposed savings requirements changes to local government funding systems uncertainties of pilot pension fund financial mgt of nndr cts leads to change in income spending making council unsustainable,5,5,25,s151 chief finance officer financial regulations standing orders appropriately trained staff mtfs professional economic forecasts community consultation on service priorities our csr programme political decisions linked to budget strategies cmt efficiency planning efficiency plan and csr plan executive steer of service capital priorities review fees changes reserves financial mgt system budget monitoring,3,3,9,peter catchpole,using intelligence to we are model and plan for and the future changes and term risks and move away balance from reliance on govt reserves funding to balance our budget the fair retention regular monitoring of and there current position and the council s reporting to members council workforce planning covers all scenarios the council inclusion in national working groups commercialisation modelling and lobbying will enable for funding system after income rsg ceases sharing council s each efficiency plan with the opportunities and efficiency government allows guaranteed multi year grant settlement raising funding certainty shared services and partnership working,closely watching local government finance council s current budget and medium financial plan reflects how the council will its budget and maintain appropriate funding review and business rate scheme is being reviewed nationally is some potential for this to impact on long term financial position the will continue to monitor the risk rating now has an agreed and investment strategy which the council to generate additional service is required to review and identify any for transformation commercialisation
9,the council s ability to cope with a natural disaster,natural disaster malicious or accidental incident affects support required by civilians or disrupts existing council services,5,4,20,emergency plan emergency planning exercises beyond the district business continuity plans regular exercise and joint public sector workshops for emergency planning emergency planning communication s strategy review of approach with partner organisations as a result of lessons learned from near miss flood events local resilience forum,4,4,16,cmt,regularly test key senior emergency plan briefing test service management business continuity test the plans recovery ensure key management emergency training planning staff officers attend regular recovery liaison meetings managers and training local training tactical the council s plan have trained available the council leisure the council to be council s by the response,staff attend regular multi agency and planning meetings team conduct periodical exercise to councils readiness for an emergency training has been delivered in house to team in january 2020 additional is in progress rest centres incident and tactical management during 2020 training has been delivered to all senior by the cambridge and peterborough resilience forum cplrf additional is in progress loggist recovery and management emergency management and rest been updated we have increased and the number of volunteer rest centre staff will retain the use of each of the four centres for rest centre sites will be implementing a rota for officers on call in the event of an emergency the response will complement and support coordinated cplrf and public sector to any such incident
10,major health and safety incident,major health safety incident at council leads to costs for inquiry disruption to service and possible prosecution,4,4,16,health safety h s panel h s procedures addressed at every service area h s audits in all services specialist h s advisor corporate wide h s training insurance aligned port health and safety arrangements port management group and annual independent audit robust sickness management processes,4,3,12,cmt,ensure health and a thorough safety is standard council agenda on all team carefully meetings programme ensure equipment training inventory and flu jabs inspections are up to date review risk assessments and action plans capture port near misses and asses learning points,health and safety regime at the ensures that the residual risk remains managed of targeted health and safety refresher is in place as per service specification are being provided for employees
