Risk ID,Risk Description,Impact,Project Stage,Risk Category,Likelihood (1-10),Impact (1-10),Risk Index,Risk Owner,Mitigation
3,failure to discharge planning and listed building conditions,,pre construction,planning,3.333333333333333,1.6666666666666667,2.0,project manager,design team and contractor to collate initial pack of information for discharge of conditions
4,planning conditions impact on budget,increase project budget,pre construction,planning,6.666666666666667,5.0,14.0,project manager,extent of conditions known and to be reviewed and managed
10,electricity provider works delayed or non conforming,works to provide new supply are delayed not in accordance with the programme to save having to provide a sub station,construction,legislation,3.333333333333333,3.333333333333333,4.0,project manager,orders for the electrical services have been placed by cyc direct
11,building control sign off delay due to lack of resources,revisit design to address concerns of building control,construction commissioning,legislation,3.333333333333333,3.333333333333333,4.0,project manager,continue liaison with the building control officer
12,impact of boat companies city cruises,impact delivery site servicing strategy,construction,planning,3.333333333333333,1.6666666666666667,2.0,project manager,legal agreements are in place
13,party wall negotiations construction access,objection from neighbours potential delay to programme,pre construction,planning,5.0,6.666666666666667,10.5,project manager,appoint party wall surveyor and progress discussions with neighbours
14,failure to secure market interest for restaurant tenant,restaurant not achieving appropriate tenant and long term revenue projections impact on project cost,pre construction operation,procurement,5.0,8.333333333333334,15.0,project manager,early engagement of agent for potential lettings sufficient expressions of interest
16,increased construction costs,exchange rate on materials impact of international markets following political decisions,construction,procurement,5.0,5.0,9.0,project manager,tender prices received and under review risk shall remain prominent where budget costs provisional sums are included
18,sub contractor insolvency,impacts main contractor,construction,procurement,6.666666666666667,5.0,12.0,construction manager,contractor financial checks and vetting of subcontractors
20,surveys required to determine ground conditions contamination,possible need to re visit design deal with contamination on site,pre construction,surveys,1.6666666666666667,8.333333333333334,3.0,lead engineer,gi survey undertaken information obtained contamination results received desk study provided by arup
21,identification of active movement,proven to be active remediation impacts cost,pre construction,surveys,1.6666666666666667,8.333333333333334,5.0,structural engineer,ongoing monitoring by arup and monitoring specification included within contract documents
22,unidentified archaeology,further evaluation required cost impact,pre construction,surveys,3.333333333333333,3.333333333333333,4.0,environment lead,evaluation of site undertaken
23,additional surveys required,cost impact,pre construction,surveys,1.6666666666666667,1.6666666666666667,1.0,project manager,undertake outstanding surveys
26,unrealistic programme submitted by contractor,,pre construction,programme,1.6666666666666667,5.0,2.5,project manager,market tested
27,programme delays due to flood levels impacting construction,works stop cost and programme implications,construction,programme,10.0,8.333333333333334,24.0,project manager environment lead,review historic flood data and issue to contractor contingency plan to be developed
29,delay to design programme,client contractor impact cost programme,pre construction,design,5.0,5.0,9.0,design manager,implementation of irs schedules design deliverables and clear responsibility for design
31,underpinning piling and crack repairs to be considered,may resolve existing cracks and movement of the tower but other cracks may appear elsewhere that will require repairing,pre construction,design,5.0,8.333333333333334,15.0,structural engineer,detailed dilapidations surveys crack monitors
32,discovering structural unknowns,costs of additional surveys and remediation works,construction,design,8.333333333333334,6.666666666666667,17.5,structural engineer,undertake surveys early to determine unknowns allow suitable contingency for remediation biggest concerns being the tower underpinning and south range
