Risk ID,Risk Description,Project Stage,Project Category,Likelihood (1-10),Impact (1-10),"Risk Priority (low, med, high)",Risk Owner,Mitigating Action,Result
3,failure to discharge planning and listed building conditions,pre construction,planning,3.333333333333333,1.6666666666666667,low,project manager,,design team and contractor to collate initial pack of information for discharge of conditions
4,planning conditions impact on budget,pre construction,planning,6.666666666666667,5.0,high,project manager,increase project budget,extent of conditions known and to be reviewed and managed
10,electricity provider works delayed or non conforming,construction,legislation,3.333333333333333,3.333333333333333,low,project manager,works to provide new supply are delayed not in accordance with the programme to save having to provide a sub station,orders for the electrical services have been placed by cyc direct
11,building control sign off delay due to lack of resources,construction commissioning,legislation,3.333333333333333,3.333333333333333,low,project manager,revisit design to address concerns of building control,continue liaison with the building control officer
12,impact of boat companies city cruises,construction,planning,3.333333333333333,1.6666666666666667,low,project manager,impact delivery site servicing strategy,legal agreements are in place
13,party wall negotiations construction access,pre construction,planning,5.0,6.666666666666667,yellow,project manager,objection from neighbours potential delay to programme,appoint party wall surveyor and progress discussions with neighbours
14,failure to secure market interest for restaurant tenant,pre construction operation,procurement,5.0,8.333333333333334,high,project manager,restaurant not achieving appropriate tenant and long term revenue projections impact on project cost,early engagement of agent for potential lettings sufficient expressions of interest
16,increased construction costs,construction,procurement,5.0,5.0,med,project manager,exchange rate on materials impact of international markets following political decisions,tender prices received and under review risk shall remain prominent where budget costs provisional sums are included
18,sub contractor insolvency,construction,procurement,6.666666666666667,5.0,med,construction manager,impacts main contractor,contractor financial checks and vetting of subcontractors
20,surveys required to determine ground conditions contamination,pre construction,surveys,1.6666666666666667,8.333333333333334,low,lead engineer,possible need to re visit design deal with contamination on site,gi survey undertaken information obtained contamination results received desk study provided by arup
21,identification of active movement,pre construction,surveys,1.6666666666666667,8.333333333333334,low,structural engineer,proven to be active remediation impacts cost,ongoing monitoring by arup and monitoring specification included within contract documents
22,unidentified archaeology,pre construction,surveys,3.333333333333333,3.333333333333333,low,environment lead,further evaluation required cost impact,evaluation of site undertaken
23,additional surveys required,pre construction,surveys,1.6666666666666667,1.6666666666666667,low,project manager,cost impact,undertake outstanding surveys
26,unrealistic programme submitted by contractor,pre construction,programme,1.6666666666666667,5.0,low,project manager,,market tested
27,programme delays due to flood levels impacting construction,construction,programme,10.0,8.333333333333334,high,environment lead,works stop cost and programme implications,review historic flood data and issue to contractor contingency plan to be developed
